1510,d
1510,k
1885,f
2260,j
3010,k
3010,d
3385,j
3760,f
4135,d
4510,k
4510,f
4885,j
5260,d
5635,f
6010,d
6010,k
6385,j
6760,f
6760,k
7135,d
7510,k
7510,f
7885,d
8260,f
8635,j
8916,d
8963,f
9010,j
9010,k
9385,d
9760,k
10135,j
10510,k
10510,f
10885,j
11260,d
11635,f
11963,j
12010,d
12010,k
12385,f
12760,j
13135,k
13416,j
13463,f
13510,d
13510,k
13885,d
14072,f
14260,d
14447,k
14635,f
14822,j
15010,k
15010,d
15197,j
15385,f
15572,d
15760,k
15760,f
15947,j
16135,d
16322,f
16510,j
16510,k
16697,j
16791,k
16885,f
16978,j
17072,d
17166,f
17260,j
17353,k
17447,d
17541,f
17635,k
17728,j
17822,d
17916,f
18010,j
18103,k
18197,d
18291,f
18385,k
18478,j
18572,f
18666,d
18760,k
18822,j
18885,f
18947,d
19010,k
19072,j
19135,f
19197,d
19260,k
19322,j
19385,f
19447,d
19510,k
19510,j
19510,f
19697,d
19885,f
19885,k
20072,j
20166,f
20260,k
20260,d
20447,f
20635,k
20635,j
20822,f
21010,d
21010,k
21197,j
21385,f
21572,d
21619,f
21666,j
21713,k
21760,f
21760,d
21947,k
22135,d
22135,j
22322,k
22416,d
22463,f
22510,k
22510,j
22697,k
22791,j
22885,f
22978,d
23072,k
23166,j
23260,f
23260,d
23353,j
23447,d
23541,f
23635,j
23728,k
23822,d
23916,f
24010,k
24010,j
24103,f
24197,k
24291,j
24385,f
24478,d
24572,k
24666,j
24760,f
24760,d
24947,j
25135,f
25135,k
25322,j
25510,d
25510,k
25510,f
25697,j
25885,f
26072,k
26166,j
26260,d
26260,f
26447,f
26447,j
26635,k
26635,j
26728,f
26822,d
26916,f
27010,j
27010,k
27103,f
27197,k
27291,j
27385,f
27478,d
27572,k
27666,j
27760,f
27760,k
27947,d
28135,j
28135,k
28322,f
28510,k
28510,j
28510,d
28697,f
28791,d
28885,k
28978,j
29072,f
29166,d
29260,j
29260,k
29447,f
29541,d
29635,k
29728,j
29822,f
29916,d
30010,k
30010,j
30572,d
30666,f
30760,j
30853,f
30947,d
31041,j
31135,f
31228,d
31322,j
31416,f
31510,d
32635,j
32822,k
33010,f
33010,d
33197,j
33385,d
33385,k
33572,f
33760,k
33760,j
33947,k
33947,f
34135,d
34135,j
34322,d
34322,f
34510,k
34510,j
34697,f
34885,j
34885,d
35072,k
35072,f
35260,d
35260,k
35447,f
35447,j
35635,k
35635,d
35822,j
35822,f
36010,d
36010,k
36197,f
36385,k
36385,j
36572,f
36760,k
36760,d
36947,j
37135,d
37135,f
37322,k
37322,j
37510,d
37510,f
37697,j
37885,k
37885,f
38072,d
38119,f
38166,j
38213,k
38260,d
38260,f
38635,f
38635,k
39010,d
39010,j
39385,j
39385,k
39760,d
39760,j
39947,j
40135,f
40135,k
40322,f
40510,k
40510,d
40885,d
40885,j
41260,d
41260,f
41635,k
41822,j
42010,k
42010,f
42197,j
42385,d
42385,f
42572,j
42666,f
42760,d
42760,k
42947,j
43135,k
43135,d
43197,f
43260,j
43322,k
43510,j
43510,d
43697,k
43885,f
44072,d
44260,f
44260,j
44260,k
44447,d
44635,k
44822,j
45010,f
45010,d
45197,j
45385,k
45572,j
45760,d
45760,f
45760,k
45947,j
46135,f
46322,d
46510,f
46510,k
46697,j
46885,d
46885,k
47072,f
47260,k
47260,d
47260,j
47447,f
47635,k
47822,j
48010,f
48010,k
48197,d
48291,f
48385,k
48478,j
48572,f
48666,d
48760,k
48760,j
48760,f
48853,d
48947,f
49041,j
49135,f
49228,d
49322,k
49416,j
49510,d
49510,f
49697,j
49885,f
50072,j
50260,f
50260,d
50260,k
50447,j
50635,k
50822,j
51010,f
51010,d
51197,j
51385,k
51385,f
51572,j
51760,d
51760,k
51760,f
51947,j
52135,f
52322,k
52510,j
52510,d
52697,k
52885,f
53072,d
53260,f
53260,k
53260,j
53447,d
53635,f
53822,j
54010,k
54010,f
54385,k
54385,f
54572,j
54572,d
54760,j
54760,f
54760,k
54947,k
54947,j
55041,f
55041,d
55135,j
55135,k
55322,j
55322,f
55510,d
55510,k
55510,f
55697,j
55885,d
56072,f
56260,d
56260,k
56260,j
56447,f
56635,k
56822,j
57010,d
57010,f
57197,k
57385,j
57572,f
57760,d
57760,k
57760,j
57947,f
58135,j
58322,f
58510,d
58510,j
58697,k
58885,d
59072,f
59260,d
59260,j
59260,k
59447,f
59635,d
59822,j
60010,d
60010,k
60197,f
60291,j
60385,k
60478,j
60572,f
60666,d
60760,f
60760,k
60760,j
60853,d
60947,j
61041,k
61135,d
61228,f
61322,j
61416,k
61510,f
61510,d
61697,k
61885,j
62072,f
62260,k
62260,j
62260,d
62447,f
62635,d
62822,j
63010,d
63010,k
63197,f
63385,k
63572,j
63760,d
63760,k
63760,f
63947,j
64135,d
64322,f
64510,k
64510,j
64697,f
64885,d
65072,j
65260,d
65260,f
65260,k
65447,j
65635,d
65822,f
66010,j
66010,d
66010,k
66197,f
66385,k
66385,j
66572,f
66760,d
66760,k
66947,j
67135,f
67135,d
67322,k
67510,d
67510,j
67697,f
67885,k
67885,d
68072,j
68260,f
68260,k
68447,j
68635,k
68635,d
68822,f
69010,d
69010,j
69197,j
69197,d
69385,k
69385,f
69572,j
69572,d
69760,f
69760,k
69947,k
69947,f
70135,j
70135,d
70322,k
70322,f
70510,f
70510,j
70603,k
70603,d
70697,j
70697,f
70791,k
70791,d
70885,j
70885,f
70978,k
70978,d
71072,j
71072,f
71166,k
71166,d
71260,j
71260,f
71353,k
71353,d
71447,j
71447,f
71541,d
71541,k
71635,j
71635,f
71822,k
72010,d
72010,f
72010,j
72197,k
72385,d
72385,j
72572,f
72760,j
72760,d
72760,k
72947,f
73135,k
73135,j
73322,f
73510,d
73510,j
73697,k
73885,d
73885,f
74072,j
74260,f
74260,k
74260,d
74447,j
74635,d
74635,k
74822,f
75010,d
75010,j
75760,k
78010,j
78010,d
78197,f
78385,k
78572,j
78760,k
78760,d
79041,f
79135,d
79135,j
79322,f
79416,j
79510,k
79510,d
79603,f
79697,j
79885,k
79885,d
80072,j
80260,d
80260,f
80447,k
80447,j
80635,d
80635,k
80822,j
81010,d
81010,f
81197,j
81385,k
81572,j
81760,d
81760,f
81947,j
82041,k
82041,d
82135,f
82322,k
82322,j
82510,d
82603,f
82697,k
82697,j
82885,d
82885,f
83072,j
83166,f
83260,d
83260,k
83447,f
83541,d
83635,k
83635,j
83728,f
83822,d
84010,k
84010,j
84291,f
84291,d
84478,k
84572,j
84760,f
84760,d
84853,j
84947,k
85135,j
85135,d
85322,f
85416,d
85510,j
85510,k
85603,d
85697,f
85791,j
85885,d
85885,k
86072,k
86166,j
86260,d
86260,f
86353,k
86447,j
86541,f
86635,k
86635,d
86822,j
87010,f
87010,d
87197,j
87385,k
87385,d
87572,f
87666,d
87760,k
87760,j
87947,d
87947,f
88322,j
88416,k
88510,d
88510,f
88697,k
88697,d
88885,j
88885,f
89072,d
89166,f
89260,j
89260,k
89447,k
89541,j
89635,d
89635,f
89822,f
89822,j
90010,k
90010,d
90197,j
90385,d
90385,k
90572,f
90760,j
90760,k
90853,d
90947,f
91135,j
91228,k
91322,f
91416,d
91510,k
91510,j
91603,d
91697,f
91791,j
91885,d
91885,k
92072,f
92166,d
92260,k
92260,j
92353,d
92447,f
92541,j
92635,k
92822,j
93010,f
93010,d
93197,j
93385,k
93478,j
93572,f
93760,f
93760,d
93853,j
93947,k
94041,j
94135,f
